Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  4.76      0.04     0.04    53680     0.00     0.00  std::_Bit_iterator std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  3.57      0.07     0.03    51306     0.00     0.00  Player::~Player()
  3.57      0.10     0.03    13880     0.00     0.00  Bonus* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, Bonus*>(__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, __gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, Bonus*)
  3.57      0.13     0.03     4880     0.01     0.05  PathFinding::findNearestSafePath(int, int, GameState&, Player)
  2.38      0.15     0.02   502216     0.00     0.00  std::_Bit_iterator::operator*() const
  2.38      0.17     0.02   251593     0.00     0.00  Player::getX() const
  2.38      0.19     0.02   120452     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  2.38      0.21     0.02    81736     0.00     0.00  sf::Transformable::Transformable(sf::Transformable const&)
  2.38      0.23     0.02    79093     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  2.38      0.25     0.02    75891     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  2.38      0.27     0.02    13882     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)
  2.38      0.29     0.02    13881     0.00     0.00  Player* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*, Player>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*, std::allocator<Player>&)
  2.38      0.31     0.02    13880     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Bomb>, Bomb>::_S_select_on_copy(std::allocator<Bomb> const&)
  2.38      0.33     0.02     9574     0.00     0.00  Flame::Flame(Flame const&)
  2.38      0.35     0.02     5755     0.00     0.02  GameState::update()
  1.19      0.36     0.01   687656     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.19      0.37     0.01   490228     0.00     0.00  std::_Bit_reference::operator bool() const
  1.19      0.38     0.01   119296     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_max_size(std::allocator<Action> const&)
  1.19      0.39     0.01   119296     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<Action, void>::value, Action*>::type std::__relocate_a_1<Action, Action>(Action*, Action*, Action*, std::allocator<Action>&)
  1.19      0.40     0.01   107360     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  1.19      0.41     0.01    72776     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  1.19      0.42     0.01    71099     0.00     0.00  std::vector<Action, std::allocator<Action> >::begin()
  1.19      0.43     0.01    61588     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::difference_type __gnu_cxx::operator-<Action*, std::vector<Action, std::allocator<Action> > >(__gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > > const&, __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > > const&)
  1.19      0.44     0.01    59926     0.00     0.00  std::vector<Action, std::allocator<Action> >::push_back(Action&&)
  1.19      0.45     0.01    59648     0.00     0.00  __gnu_cxx::new_allocator<Action>::deallocate(Action*, unsigned long)
  1.19      0.46     0.01    59648     0.00     0.00  std::vector<Action, std::allocator<Action> >::_M_check_len(unsigned long, char const*) const
  1.19      0.47     0.01    53680     0.00     0.00  std::allocator_traits<std::allocator<unsigned long> >::select_on_container_copy_construction(std::allocator<unsigned long> const&)
  1.19      0.48     0.01    53680     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  1.19      0.49     0.01    47395     0.00     0.00  std::allocator<Player>::~allocator()
  1.19      0.50     0.01    47393     0.00     0.00  std::allocator<Bonus>::~allocator()
  1.19      0.51     0.01    29675     0.00     0.00  __gnu_cxx::__normal_iterator<Flame const*, std::vector<Flame, std::allocator<Flame> > >::__normal_iterator(Flame const* const&)
  1.19      0.52     0.01    29591     0.00     0.00  std::_Vector_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_deallocate(std::pair<int, int>*, unsigned long)
  1.19      0.53     0.01    27981     0.00     0.00  __gnu_cxx::new_allocator<Action>::~new_allocator()
  1.19      0.54     0.01    26009     0.00     0.00  void std::_Destroy<Player>(Player*)
  1.19      0.55     0.01    25134     0.00     0.00  std::vector<Player, std::allocator<Player> >::end()
  1.19      0.56     0.01    24110     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_M_deallocate(Bomb*, unsigned long)
  1.19      0.57     0.01    23260     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  1.19      0.58     0.01    22053     0.00     0.00  std::_Deque_iterator<PathFinding::PathFindingNode*, PathFinding::PathFindingNode*&, PathFinding::PathFindingNode**>::operator*() const
  1.19      0.59     0.01    20508     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl_data::_M_swap_data(std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl_data&)
  1.19      0.60     0.01    19034     0.00     0.00  Flame::~Flame()
  1.19      0.61     0.01    18214     0.00     0.00  std::_Vector_base<Flame, std::allocator<Flame> >::_M_allocate(unsigned long)
  1.19      0.62     0.01    14428     0.00     0.00  std::vector<std::pair<int, Action>, std::allocator<std::pair<int, Action> > >::size() const
  1.19      0.63     0.01    14062     0.00     0.00  std::_Vector_base<Bonus, std::allocator<Bonus> >::_M_allocate(unsigned long)
  1.19      0.64     0.01    13882     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<int, int> >, std::pair<int, int> >::_S_select_on_copy(std::allocator<std::pair<int, int> > const&)
  1.19      0.65     0.01    13882     0.00     0.00  std::pair<int, int>* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>*>(__gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, std::pair<int, int>*)
