Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  6.89      0.60     0.60   232538     0.00     0.00  GameState::update()
  4.08      0.95     0.35   176756     0.00     0.00  bestChild(Node*)
  3.96      1.30     0.34 72072525     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  2.35      1.50     0.20 38252885     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  2.07      1.69     0.18     8417     0.00     0.00  Level::draw(sf::RenderWindow&, int)
  1.95      1.85     0.17  2188674     0.00     0.00  Level::isEmpty(int, int)
  1.89      2.02     0.17  1950036     0.00     0.00  canMoveInDirection(GameState&, int, int, int)
  1.72      2.17     0.15    76380     0.00     0.00  Bomb::explode(GameState&)
  1.66      2.31     0.14   487509     0.00     0.00  getPossibleActions(GameState&)
  1.44      2.44     0.12   238638     0.00     0.00  Player::isLegalMove(int, int, GameState&)
  1.44      2.56     0.12    35000     0.00     0.00  backpropagate(Node*, int)
  1.26      2.67     0.11  1145595     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  1.26      2.79     0.11                             _init
  1.15      2.88     0.10   226416     0.00     0.00  Bomb::changeTexture()
  1.03      2.98     0.09  5592264     0.00     0.00  Player::getX() const
  0.92      3.06     0.08  1809538     0.00     0.00  std::vector<Action, std::allocator<Action> >::back()
  0.92      3.13     0.08   316425     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  0.86      3.21     0.07   556040     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.80      3.28     0.07  9600544     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.80      3.35     0.07  1809538     0.00     0.00  Action& std::vector<Action, std::allocator<Action> >::emplace_back<Action>(Action&&)
  0.80      3.42     0.07   448059     0.00     0.00  Player::play(Action, GameState&)
  0.80      3.49     0.07   208289     0.00     0.00  Player::Player(Player const&)
  0.80      3.56     0.07   104144     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::vector(std::vector<Bomb, std::allocator<Bomb> > const&)
  0.80      3.63     0.07    53663     0.00     0.00  void std::vector<Bomb, std::allocator<Bomb> >::_M_realloc_insert<Bomb>(__gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >, Bomb&&)
  0.69      3.69     0.06  7467353     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  0.69      3.75     0.06  2385144     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  0.69      3.81     0.06  1145584     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >, std::vector<int, std::allocator<int> > const&>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > const&)
  0.69      3.87     0.06   104144     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*>(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, std::vector<int, std::allocator<int> >*)
  0.69      3.93     0.06   104144     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::vector(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
  0.63      3.98     0.06 34965455     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.63      4.04     0.06  2002056     0.00     0.00  __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > >::__normal_iterator(Player* const&)
  0.57      4.09     0.05  2069576     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::operator*() const
  0.57      4.14     0.05   880121     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.57      4.19     0.05   278018     0.00     0.00  std::pair<int, int>& std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::emplace_back<int&, int&>(int&, int&)
  0.57      4.24     0.05   104144     0.00     0.00  GameState::GameState(GameState const&)
  0.57      4.29     0.05    74040     0.00     0.00  Bomb::Bomb(Bomb&&)
  0.52      4.33     0.04   731324     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.52      4.38     0.04   104145     0.00     0.00  Player* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  0.46      4.42     0.04  3019862     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::operator[](unsigned long)
  0.46      4.46     0.04  2985839     0.00     0.00  bool __gnu_cxx::operator!=<Player*, std::vector<Player, std::allocator<Player> > >(__gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&, __gnu_cxx::__normal_iterator<Player*, std::vector<Player, std::allocator<Player> > > const&)
  0.46      4.50     0.04  1809538     0.00     0.00  __gnu_cxx::__normal_iterator<Action*, std::vector<Action, std::allocator<Action> > >::operator-(long) const
  0.46      4.54     0.04  1145650     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.46      4.58     0.04   765318     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.46      4.62     0.04   487509     0.00     0.00  std::vector<Action, std::allocator<Action> >::capacity() const
  0.46      4.66     0.04   487509     0.00     0.00  std::vector<Action, std::allocator<Action> >::reserve(unsigned long)
  0.46      4.70     0.04   334711     0.00     0.00  std::_Vector_base<Bomb, std::allocator<Bomb> >::_M_get_Tp_allocator()
  0.46      4.74     0.04   108136     0.00     0.00  Bomb::Bomb(Bomb const&)
  0.46      4.78     0.04   107326     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::_S_max_size(std::allocator<Bomb> const&)
  0.46      4.82     0.04    74040     0.00     0.00  Bomb::Bomb(int, int, int, int, std::optional<int>)
  0.46      4.86     0.04    74040     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::push_back(Bomb&&)
