Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  4.88      0.02     0.02    83188     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::size() const
  4.88      0.04     0.02    61776     0.00     0.00  Level::isEmpty(int, int)
  2.44      0.05     0.01   259876     0.00     0.00  std::vector<Player, std::allocator<Player> >::operator[](unsigned long)
  2.44      0.06     0.01   170578     0.00     0.00  Player::getX() const
  2.44      0.07     0.01    86885     0.00     0.00  Player::getY() const
  2.44      0.08     0.01    77362     0.00     0.00  std::vector<Action, std::allocator<Action> >::_S_relocate(Action*, Action*, Action*, std::allocator<Action>&)
  2.44      0.09     0.01    77362     0.00     0.00  Action* std::__relocate_a<Action*, Action*, std::allocator<Action> >(Action*, Action*, Action*, std::allocator<Action>&)
  2.44      0.10     0.01    48056     0.00     0.00  sf::Transformable::Transformable(sf::Transformable const&)
  2.44      0.11     0.01    42505     0.00     0.00  sf::Sprite::Sprite(sf::Sprite const&)
  2.44      0.12     0.01    38681     0.00     0.00  std::vector<Action, std::allocator<Action> >::_M_check_len(unsigned long, char const*) const
  2.44      0.13     0.01    35980     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  2.44      0.14     0.01    26635     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::_M_deallocate(Player*, unsigned long)
  2.44      0.15     0.01    26633     0.00     0.00  std::vector<Player, std::allocator<Player> >::~vector()
  2.44      0.16     0.01    24489     0.00     0.00  __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >::__normal_iterator(Bomb const* const&)
  2.44      0.17     0.01    23676     0.00     0.00  bool __gnu_cxx::operator!=<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > >(__gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > > const&, __gnu_cxx::__normal_iterator<Bomb const*, std::vector<Bomb, std::allocator<Bomb> > > const&)
  2.44      0.18     0.01    23091     0.00     0.00  Player::Player(Player const&)
  2.44      0.19     0.01    15424     0.00     0.00  std::vector<std::pair<int, Action>, std::allocator<std::pair<int, Action> > >::size() const
  2.44      0.20     0.01    14544     0.00     0.00  std::_Vector_base<Action, std::allocator<Action> >::~_Vector_base()
  2.44      0.21     0.01    12007     0.00     0.00  bool __gnu_cxx::operator!=<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >(__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > > const&, __gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > > const&)
  2.44      0.22     0.01    11547     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::vector(std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > const&)
  2.44      0.23     0.01    11546     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::select_on_container_copy_construction(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  2.44      0.24     0.01    11546     0.00     0.00  Player* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*>(__gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, __gnu_cxx::__normal_iterator<Player const*, std::vector<Player, std::allocator<Player> > >, Player*)
  2.44      0.25     0.01    11546     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  2.44      0.26     0.01    11545     0.00     0.01  GameState::GameState(GameState const&)
  2.44      0.27     0.01    11545     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Bomb>, Bomb>::_S_select_on_copy(std::allocator<Bomb> const&)
  2.44      0.28     0.01    11545     0.00     0.00  Bonus* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, Bonus*, Bonus>(__gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, __gnu_cxx::__normal_iterator<Bonus const*, std::vector<Bonus, std::allocator<Bonus> > >, Bonus*, std::allocator<Bonus>&)
  2.44      0.29     0.01     7544     0.00     0.00  std::_Vector_base<Player, std::allocator<Player> >::get_allocator() const
  2.44      0.30     0.01     7544     0.00     0.00  std::vector<Bomb, std::allocator<Bomb> >::operator=(std::vector<Bomb, std::allocator<Bomb> >&&)
  2.44      0.31     0.01     4756     0.00     0.00  Game::getPlayers()
  2.44      0.32     0.01     4542     0.00     0.01  GameState::update()
